name,number,link,cost,total
"Controller, Arduino, Stepper Driver combo",1,https://www.amazon.com/Printer-Engraving-Expansion-Controller-Arduino/dp/B074DVRZDL/137-9649963-2915629,17.83,17.83
Stepper output flanges,1,https://www.amazon.com/ZXHAO-Flange-Coupling-Motors-Bearing/dp/B07HK8LQWC/,6.99,6.99
DCDC Stepdown 24v-12v,1,https://www.amazon.com/EPBOWPT-Converter-Regulator-Voltage-Transformer/dp/B07V6X6L89,9.99,9.99
Barrel power connector,1,https://www.amazon.com/California-JOS-Male-Female-2-1x5-5mm/dp/B0CR8TZ41W,3.97,3.97
JST-XH terminated cabling,1,https://www.amazon.com/ACEIRMC-10Pairs-Connector-Connectors-Compatible/dp/B0D3LV6X3Y,7.89,7.89
C13 Male Connectors,1,https://www.amazon.com/Panel-Adapter-Connector-Socket-MXR/dp/B07DCXKNXQ,5.99,5.99
Thrust Bearings 15x28x2mm,2,https://www.amazon.com/uxcell-AXK5578-Bearings-Diameter-Thickness/dp/B07GC9J18L?xpid=99cDBU9-PCR3I&th=1,6.19,12.38
Thrust Bearings 80x105x4mm,1,https://www.amazon.com/uxcell-AXK5578-Bearings-Diameter-Thickness/dp/B07GC94P6Y?xpid=99cDBU9-PCR3I&th=1,9.99,9.99
M3 Fastener set,1,https://www.amazon.com/Fgruh-750PCS-Assortment-Washers-Assorted/dp/B0FGV5FCBN?th=1,9.99,9.99
"7/16-14 1 1/2"" Bolts",4,https://boltdepot.com/Product-Details?product=377,0.68,2.72
"7/16-14 1 1/4"" Bolts",9,https://boltdepot.com/Product-Details?product=376,0.59,5.31
7/16-14 Nuts,13,https://boltdepot.com/Product-Details?product=5574,0.38,4.94
CR20 Pro power supply,1,https://store.creality.com/products/creality-350w-power-supply,22.81,22.81
Creality 42-40 Nema 17 Stepper,1,https://www.creality3dofficial.com/en/products/2pcs-ce-certification-2phase-reprap-stepper-motor-42-motor-42-40-3d-printer,10.495,10.495
Creality 42-34 Nema 17 Stepper,2,https://www.creality3dofficial.com/en/products/2pcs-ce-certification-2phase-reprap-stepper-motor-42-motor-42-40-3d-printer,10.495,20.99
Cat5 Ethernet cable,1,https://www.amazon.com/Monoprice-Flexboot-Cat5e-Ethernet-Patch/dp/B00KXM1LZ8?s=pc&th=1,2.42,2.42
6mm gt2 timing belt,1,https://www.amazon.com/Timing-Meters-Creality-Anycubic-Printer/dp/B097T3Y6WW?s=industrial&th=1,9.99,9.99
Power cabling,1,https://www.amazon.com/Voltage-Automotive-Primary-Security-Electrical/dp/B0CZ73SQP8?s=industrial&xpid=w-iRZh1nGqCoD&th=1,8.99,8.99